,COMPILED BY @PATRICKJFL,,,,,,,,,,,,,,,,,,,
154,Trudy Harrison,,Conservative,Copeland,Johnson,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,Mordaunt,Shapps,Gove,2017,Yes,?,,Lib Right,Yes,,14%,59%,Mid Leave,
65,Chris Clarkson,,Conservative,Heywood and Middleton,Johnson,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,Sunak,Sunak,-,2019,No,Leave,,Lib Right,Yes,,1%,62%,Heavy Leave,
335,Shailesh Vara,,Conservative,North West Cambridgeshire,Johnson,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,Sunak,Sunak,Raab,2005,Yes,Remain,,Auth Left,,,40%,57%,Mid Leave,
26,Scott Benton,,Conservative,Blackpool South,Johnson,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,Truss,Braverman,-,2019,No,?,,Auth Left,Yes,,11%,68%,Heavy Leave,
95,Richard Drax,,Conservative,South Dorset,Johnson,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,Truss,Braverman,Johnson,2010,No,Leave,Yes,Auth Left,,,34%,59%,Mid Leave,
257,Sheryll Murray,,Conservative,South East Cornwall,Johnson,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,Truss,Shapps,Johnson,2010,No,Leave,Yes,Auth Left,,,39%,55%,Soft Leave,
101,Mark Eastwood,,Conservative,Dewsbury,Johnson,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,Truss,Truss,-,2019,No,?,,Lib Right,Yes,,3%,57%,Mid Leave,
168,Philip Hollobone,,Conservative,Kettering,Johnson,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,-,Braverman,-,2005,No,Leave,,Auth Left,,,34%,61%,Mid Leave,
176,Jane Hunt,,Conservative,Loughborough,Johnson,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,-,-,-,2019,No,?,,Lib Right,,,13%,50%,Soft Leave,
327,Kelly Tolhurst,,Conservative,Rochester and Strood,Johnson,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,-,-,Johnson,2015,Yes,Remain,,Auth Right,,,33%,64%,Heavy Leave,
56,Maria Caulfield,,Conservative,Lewes,Johnson,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,Sunak,Sunak,Raab,2015,Yes,Leave,,Auth Right,,Yes,4%,47%,Remain,
207,Edward Leigh,,Conservative,Gainsborough,Johnson,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,Truss,Truss,Gove,1983,No,Leave,,Auth Left,,,45%,62%,Mid Leave,
276,Tom Pursglove,,Conservative,Corby,Johnson,https://twitter.com/VotePursglove/status/1583200497959174144?s=20&t=myLabaGhgVNrrb0ywgS9Cg,Truss,Truss,Raab,2015,Yes,Leave,,Auth Right,,,17%,60%,Mid Leave,
208,Ian Levy,,Conservative,Blyth Valley,Johnson,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,Mordaunt,Mordaunt,-,2019,No,Leave,,Auth Left,Yes,,2%,61%,Mid Leave,
304,Henry Smith,,Conservative,Crawley,Johnson,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,Truss,Braverman,Johnson,2010,No,Leave,Yes,Auth Left,,,17%,58%,Mid Leave,
275,Mark Pritchard,,Conservative,The Wrekin,Johnson,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,Truss,Shapps,Johnson,2005,No,Remain,,Auth Left,,,38%,59%,Mid Leave,
188,Gareth Johnson,,Conservative,Dartford,Johnson,https://order-order.com/2022/10/21/whos-backing-who-the-spreadsheet-returns/,Truss,Truss,Raab,2010,Yes,Leave,,Auth Right,,,35%,64%,Heavy Leave,
312,Jane Stevenson,,Conservative,Wolverhampton North East,Johnson,https://order-order.com/2022/10/21/whos-backing-who-the-spreadsheet-returns/,Truss,Truss,-,2019,No,?,,Auth Left,Yes,,12%,68%,Heavy Leave,
310,Alexander Stafford,,Conservative,Rother Valley,Johnson,https://order-order.com/2022/10/21/whos-backing-who-the-spreadsheet-returns/,Truss,Truss,-,2019,No,Leave,,Auth Right,Yes,,13%,67%,Heavy Leave,
146,Jonathan Gullis,,Conservative,Stoke-on-Trent North,Johnson,https://twitter.com/Gabriel_Pogrund/status/1583414219407441921,Truss,Zahawi,-,2019,No,?,Yes,Lib Right,Yes,,16%,72%,Heavy Leave,
89,Leo Docherty,,Conservative,Aldershot,Johnson,https://twitter.com/LeoDochertyUK/status/1583418690120212482,Truss,Badenoch,Johnson,2017,Yes,?,,Lib Right,,,35%,58%,Mid Leave,
187,Caroline Johnson,,Conservative,Sleaford and North Hykeham,Johnson,https://twitter.com/alirazamanji99/status/1583438104001536000,Truss,Badenoch,Johnson,2016,No,Leave,,Auth Right,,,49%,62%,Mid Leave,
264,Matthew Offord,,Conservative,Hendon,Johnson,https://order-order.com/2022/10/21/whos-backing-who-rishi-levels-up-to-boris/,Truss,Truss,Johnson,2010,No,Leave,,Auth Left,,,8%,42%,Remain,
62,Simon Clarke,,Conservative,Middlesbrough South and East Cleveland,Johnson,https://twitter.com/christopherhope/status/1583443917940609025,Truss,Truss,Johnson,2017,Yes,?,,Auth Right,Yes,,24%,65%,Heavy Leave,
70,Damian Collins,,Conservative,Folkestone and Hythe,Mordaunt,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Mordaunt,Mordaunt,Johnson,2010,No,Remain,,Lib Left,,,36%,62%,Mid Leave,
203,John Lamont,,Conservative,"Berwickshire, Roxburgh and Selkirk",Mordaunt,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Mordaunt,Mordaunt,Hunt,2017,No,?,,Auth Right,,,10%,43%,Remain,
206,Andrea Leadsom,,Conservative,South Northamptonshire,Mordaunt,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Mordaunt,Mordaunt,Leadsom,2010,Yes,Leave,Yes,Auth Right,,,41%,53%,Soft Leave,
240,Maria Miller,,Conservative,Basingstoke,Mordaunt,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Mordaunt,Mordaunt,Raab,2005,No,Remain,,Lib Right,,,26%,54%,Soft Leave,
246,Robbie Moore,,Conservative,Keighley,Mordaunt,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Mordaunt,Mordaunt,-,2019,No,?,,Lib Right,Yes,,4%,53%,Soft Leave,
254,Kieran Mullan,,Conservative,Crewe and Nantwich,Mordaunt,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Mordaunt,Mordaunt,-,2019,No,?,,Auth Left,Yes,,16%,60%,Mid Leave,
283,Nicola Richards,,Conservative,West Bromwich East,Mordaunt,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Mordaunt,Mordaunt,-,2019,No,Leave,,Lib Left,Yes,,4%,68%,Heavy Leave,
295,Bob Seely,,Conservative,Isle of Wight,Mordaunt,BBC News,Mordaunt,Mordaunt,Johnson,2017,No,Leave,,Lib Left,,,32%,62%,Mid Leave,
324,Derek Thomas,,Conservative,St Ives,Mordaunt,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Mordaunt,Mordaunt,Leadsom,2015,No,Leave,,Auth Left,,Yes,8%,55%,Soft Leave,
330,Craig Tracey,,Conservative,North Warwickshire,Mordaunt,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Mordaunt,Mordaunt,Johnson,2015,No,Leave,,Auth Right,,,39%,68%,Heavy Leave,
69,Elliot Colburn,,Conservative,Carshalton and Wallington,Mordaunt,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,Mordaunt,Mordaunt,-,2019,No,?,,Lib Left,,Yes,1%,56%,Mid Leave,
347,Heather Wheeler,,Conservative,South Derbyshire,Mordaunt,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,Mordaunt,Mordaunt,Leadsom,2010,Yes,Leave,,Auth Left,,,36%,60%,Mid Leave,
81,James Davies,,Conservative,Vale of Clwyd,Mordaunt,https://order-order.com/2022/10/20/whos-backing-who-the-spreadsheet-returns/?fbclid=IwAR0IOMSIhqsvGvLx5cjIxkAWmgyKJfIyGNteh9F1NM0KlKF-3FmuLwTgtGs,Mordaunt,Shapps,-,2019,No,Leave,,Lib Left,Yes,,5%,57%,Mid Leave,
269,John Penrose,,Conservative,Weston-Super-Mare,Mordaunt,https://twitter.com/JohnPenroseNews/status/1583183923294932992,Mordaunt,Mordaunt,Hunt,2005,No,Remain,Yes,Lib Right,,,31%,57%,Mid Leave,
21,Harriett Baldwin,,Conservative,West Worcestershire,Mordaunt,https://twitter.com/hbaldwin/status/1583203093097119744,Mordaunt,Mordaunt,Hunt,2010,No,Remain,,Lib Left,,Yes,43%,53%,Soft Leave,
86,Caroline Dinenage,,Conservative,Gosport,Mordaunt,https://twitter.com/cj_dinenage/status/1583232718405795840,Mordaunt,Mordaunt,Hancock,2010,Yes,Remain,,Lib Right,,,48%,62%,Mid Leave,
10,Caroline Ansell,,Conservative,Eastbourne,Mordaunt,https://twitter.com/Caroline_Ansell/status/1583372518622044160?s=20&t=T1gg0_1zDlaHSbW79U2i8Q,Mordaunt,Mordaunt,-,2019,No,Leave,,Auth Left,,Yes,8%,58%,Mid Leave,
123,George Freeman,,Conservative,Mid Norfolk,Mordaunt,https://twitter.com/GeorgeFreemanMP/status/1583386207534616582,Mordaunt,Mordaunt,Hancock,2010,Yes,Remain,,Lib Left,,,40%,61%,Mid Leave,
